time_of_day,route,stop_id,stop_name,direction,min_load,max_load,avg_load,us_housing_units_no_vehicle_po,us_housing_units_no_vehicle,us_population_low_income_po,us_population_low_income,population_density,us_population,us_population_eighteen_to_twenty_four_years_old,us_population_eighteen_to_twenty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old,latitude,longitude
Morning,528,390, 19TH AVE&HOLLOWAY AVE NE-FS/,Inbound,6,62,22.66666667,0.190853943,2143,0.222420246,5611,5287,5611,0.312243807,5611,0.462306184,5611,37.7238,-122.47545
Morning,29,390, 19TH AVE&HOLLOWAY AVE NE-FS/,Inbound,13,48,35.72727273,0.190853943,2143,0.222420246,5611,5287,5611,0.312243807,5611,0.462306184,5611,37.7238,-122.47545
Morning,28,390, 19TH AVE&HOLLOWAY AVE NE-FS/,Inbound,8,67,29.625,0.190853943,2143,0.222420246,5611,5287,5611,0.312243807,5611,0.462306184,5611,37.7238,-122.47545
Evening,17,390, 19TH AVE&HOLLOWAY AVE NE-FS/,Inbound,0,0,0,0.190853943,2143,0.222420246,5611,5287,5611,0.312243807,5611,0.462306184,5611,37.7238,-122.47545
Evening,28,390, 19TH AVE&HOLLOWAY AVE NE-FS/,Inbound,0,57,33,0.190853943,2143,0.222420246,5611,5287,5611,0.312243807,5611,0.462306184,5611,37.7238,-122.47545
Morning,17,390, 19TH AVE&HOLLOWAY AVE NE-FS/,Inbound,7,12,9.5,0.190853943,2143,0.222420246,5611,5287,5611,0.312243807,5611,0.462306184,5611,37.7238,-122.47545
Evening,29,390, 19TH AVE&HOLLOWAY AVE NE-FS/,Inbound,10,55,36,0.190853943,2143,0.222420246,5611,5287,5611,0.312243807,5611,0.462306184,5611,37.7238,-122.47545
Evening,49,660, MISSION ST&OCEAN AVE -MI/,Inbound,3,30,10.94117647,0.171070932,2157,0.303000492,8132,9348,8132,0.103418593,8132,0.545868175,8132,37.72451,-122.43563
Morning,49,660, MISSION ST&OCEAN AVE -MI/,Inbound,4,24,12.125,0.171070932,2157,0.303000492,8132,9348,8132,0.103418593,8132,0.545868175,8132,37.72451,-122.43563
Evening,52,913, DUBLIN ST&LAGRANDE AVE S - EOL,Outbound,0,3,0.833333333,0.171070932,2157,0.303000492,8132,9348,8132,0.103418593,8132,0.545868175,8132,37.72161,-122.42958
Morning,52,913, DUBLIN ST&LAGRANDE AVE SE-NS,Inbound,2,6,4.166666667,0.171070932,2157,0.303000492,8132,9348,8132,0.103418593,8132,0.545868175,8132,37.72161,-122.42958
Evening,52,913, DUBLIN ST&LAGRANDE AVE SE-NS,Inbound,0,3,1,0.171070932,2157,0.303000492,8132,9348,8132,0.103418593,8132,0.545868175,8132,37.72161,-122.42958
Morning,52,913, DUBLIN ST&LAGRANDE AVE S - EOL,Outbound,2,159,30.5,0.171070932,2157,0.303000492,8132,9348,8132,0.103418593,8132,0.545868175,8132,37.72161,-122.42958
Evening,10,3003, 2ND ST&BRANNAN ST E-NS/BZ,Inbound,18,46,34.5,0.202219482,811,0.36779661,1180,8201,1180,0.076271186,1180,0.760169492,1180,37.78284,-122.39328
Morning,10,3003, 2ND ST&BRANNAN ST E-NS/BZ,Inbound,35,62,51.42857143,0.202219482,811,0.36779661,1180,8201,1180,0.076271186,1180,0.760169492,1180,37.78284,-122.39328
Morning,10,3004, 2ND ST&BRANNAN ST W-NS/SB,Outbound,19,37,25,0.202219482,811,0.36779661,1180,8201,1180,0.076271186,1180,0.760169492,1180,37.78252,-122.39267
Evening,10,3004, 2ND ST&BRANNAN ST W-NS/SB,Outbound,19,71,44.25,0.202219482,811,0.36779661,1180,8201,1180,0.076271186,1180,0.760169492,1180,37.78252,-122.39267
Evening,10,3008, 2ND ST&FOLSOM ST S-FS/BZ,Outbound,18,66,44.85714286,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78589,-122.39747
Morning,10,3008, 2ND ST&FOLSOM ST S-FS/BZ,Outbound,20,42,30.75,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78589,-122.39747
Morning,12,3008, 2ND ST&FOLSOM ST S-FS/BZ,Outbound,14,36,23.25,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78589,-122.39747
Evening,12,3008, 2ND ST&FOLSOM ST S-FS/BZ,Outbound,17,22,18.66666667,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78589,-122.39747
Morning,10,3009, 2ND ST&HARRISON ST N-FS/BZ,Inbound,33,64,50.57142857,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78481,-122.3957
Evening,10,3009, 2ND ST&HARRISON ST N-FS/BZ,Inbound,14,46,34,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78481,-122.3957
Morning,10,3010, 2ND ST&HARRISON ST S-FS/BZ,Outbound,20,43,29.75,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78689,-122.39963
Evening,10,3010, 2ND ST&HARRISON ST S-FS/BZ,Outbound,18,67,44,0.495792426,1426,0.378176383,2007,8201,2007,0.06776283,2007,0.625809666,2007,37.78689,-122.39963
Evening,10,3011, 2ND ST&HOWARD ST S-FS/BZ,Outbound,18,65,43.57142857,0.168037603,1702,0.236923077,2600,8201,2600,0.081153846,2600,0.846923077,2600,37.79011,-122.3987
Evening,12,3011, 2ND ST&HOWARD ST S-FS/BZ,Outbound,16,22,18.33333333,0.168037603,1702,0.236923077,2600,8201,2600,0.081153846,2600,0.846923077,2600,37.79011,-122.3987
Morning,10,3011, 2ND ST&HOWARD ST S-FS/BZ,Outbound,32,47,38.66666667,0.168037603,1702,0.236923077,2600,8201,2600,0.081153846,2600,0.846923077,2600,37.79011,-122.3987
Morning,12,3011, 2ND ST&HOWARD ST S-FS/BZ,Outbound,23,43,29.5,0.168037603,1702,0.236923077,2600,8201,2600,0.081153846,2600,0.846923077,2600,37.79011,-122.3987
Evening,12,3013, 2ND ST & STEVENSON ST W-FS/B,Outbound,15,21,17.66666667,0.297894737,950,0.231506849,1460,8201,1460,0.091780822,1460,0.837671233,1460,37.79046,-122.40188
Morning,10,3013, 2ND ST & STEVENSON ST W-FS/B,Outbound,30,39,35.33333333,0.297894737,950,0.231506849,1460,8201,1460,0.091780822,1460,0.837671233,1460,37.79046,-122.40188
Evening,10,3013, 2ND ST & STEVENSON ST W-FS/B,Outbound,17,63,39,0.297894737,950,0.231506849,1460,8201,1460,0.091780822,1460,0.837671233,1460,37.79046,-122.40188
Morning,12,3013, 2ND ST & STEVENSON ST W-FS/B,Outbound,27,50,33.75,0.297894737,950,0.231506849,1460,8201,1460,0.091780822,1460,0.837671233,1460,37.79046,-122.40188
Morning,10,3015, 2ND ST&TOWNSEND ST W-NS/SB,Outbound,16,35,23.5,0.202219482,811,0.36779661,1180,8201,1180,0.076271186,1180,0.760169492,1180,37.78106,-122.39161
Evening,10,3015, 2ND ST&TOWNSEND ST W-NS/SB,Outbound,18,72,43.375,0.202219482,811,0.36779661,1180,8201,1180,0.076271186,1180,0.760169492,1180,37.78106,-122.39161
Evening,54,3018, BACON ST&SAN BRUNO AVE N-MB/,Outbound,15,45,26.33333333,0.136577708,1274,0.310375472,4501,6773,4501,0.089757832,4501,0.536325261,4501,37.72886,-122.40375
Morning,54,3018, BACON ST&SAN BRUNO AVE N-MB/,Outbound,15,22,18.5,0.136577708,1274,0.310375472,4501,6773,4501,0.089757832,4501,0.536325261,4501,37.72886,-122.40375
Evening,54,3019, BACON ST&SAN BRUNO AVE E-FS/,Inbound,12,32,24.33333333,0.136577708,1274,0.310375472,4501,6773,4501,0.089757832,4501,0.536325261,4501,37.7278,-122.40481
Morning,54,3019, BACON ST&SAN BRUNO AVE E-FS/,Inbound,8,21,13.16666667,0.136577708,1274,0.310375472,4501,6773,4501,0.089757832,4501,0.536325261,4501,37.7278,-122.40481
Evening,54,3020, BACON ST&SOMERSET ST NE-NS,Outbound,16,54,35.33333333,0.116548616,1553,0.21887287,5341,6773,5341,0.092117581,5341,0.527803782,5341,37.72671,-122.40877
Morning,54,3020, BACON ST&SOMERSET ST NE-NS,Outbound,17,30,23,0.116548616,1553,0.21887287,5341,6773,5341,0.092117581,5341,0.527803782,5341,37.72671,-122.40877
Morning,54,3021, BACON ST&SOMERSET ST SW-NS,Inbound,9,28,19,0.116548616,1553,0.21887287,5341,6773,5341,0.092117581,5341,0.527803782,5341,37.72672,-122.40813
Evening,54,3021, BACON ST&SOMERSET ST SW-NS,Inbound,3,23,13.2,0.116548616,1553,0.21887287,5341,6773,5341,0.092117581,5341,0.527803782,5341,37.72672,-122.40813
Evening,29,3023, BAKER BEACH PARKING LOT SW-F,Outbound,8,20,12,0.170595533,1612,0.162092624,3498,8515,3498,0.078044597,3498,0.640365923,3498,37.79068,-122.48357
Morning,29,3023, BAKER BEACH PARKING LOT SW-F,Outbound,2,10,4.444444444,0.170595533,1612,0.162092624,3498,8515,3498,0.078044597,3498,0.640365923,3498,37.79068,-122.48357
Evening,41,3024, BAKER ST&GREENWICH ST SE-NS,Outbound,0,8,3,0.132608696,1840,0.080798771,3255,9148,3255,0.042396313,3255,0.689708141,3255,37.79776,-122.44665
Evening,45,3024, BAKER ST&GREENWICH ST SE-NS,Outbound,1,8,4,0.132608696,1840,0.080798771,3255,9148,3255,0.042396313,3255,0.689708141,3255,37.79776,-122.44665
Morning,41,3024, BAKER ST&GREENWICH ST SE-NS,Outbound,0,10,3.277777778,0.132608696,1840,0.080798771,3255,9148,3255,0.042396313,3255,0.689708141,3255,37.79776,-122.44665
Morning,45,3024, BAKER ST&GREENWICH ST SE-NS,Outbound,0,9,2.941176471,0.132608696,1840,0.080798771,3255,9148,3255,0.042396313,3255,0.689708141,3255,37.79776,-122.44665
Morning,12,3025, BATTERY ST&BROADWAY SW-FS/BZ,Outbound,35,56,44,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79972,-122.40146
Evening,782,3025, BATTERY ST&BROADWAY SW-FS/BZ,Outbound,8,25,14.2,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79972,-122.40146
Evening,12,3025, BATTERY ST&BROADWAY SW-FS/BZ,Outbound,8,28,15.33333333,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79972,-122.40146
Evening,10,3025, BATTERY ST&BROADWAY SW-FS/BZ,Outbound,13,57,27.33333333,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79972,-122.40146
Morning,10,3025, BATTERY ST&BROADWAY SW-FS/BZ,Outbound,28,56,42.2,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79972,-122.40146
Evening,782,3026, BATTERY ST&FILBERT ST SW-FS/,Outbound,5,12,8,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.80231,-122.40187
Evening,782,3029, BATTERY ST&GREEN ST NW-NS/BZ,Outbound,6,21,12,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.80096,-122.40157
Morning,10,3030, BATTERY ST&JACKSON ST NW-NS/,Outbound,7,53,33.2,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79885,-122.4036
Evening,10,3030, BATTERY ST&JACKSON ST NW-NS/,Outbound,13,57,28.57142857,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79885,-122.4036
Evening,12,3030, BATTERY ST&JACKSON ST NW-NS/,Outbound,11,31,18.33333333,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79885,-122.4036
Evening,782,3030, BATTERY ST&JACKSON ST NW-NS/,Outbound,9,25,15,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79885,-122.4036
Morning,12,3030, BATTERY ST&JACKSON ST NW-NS/,Outbound,35,58,43.75,0.322701689,1599,0.138026608,1804,13713,1804,0.048780488,1804,0.700665188,1804,37.79885,-122.4036
Evening,708,3031, BAY ST&MIDWAY ST SE-FS,Inbound,0,18,4.8125,0.375,8,0.090909091,11,13713,11,0,11,1,11,37.80643,-122.4098
Morning,808,3031, BAY ST&MIDWAY ST SE-FS,Inbound,0,9,3.9,0.375,8,0.090909091,11,13713,11,0,11,1,11,37.80643,-122.4098
Evening,831,3032, BALBOA ST&4TH AVE NE-NS/BZ,Outbound,2,26,16,0.226831897,3712,0.245224396,8690,8515,8690,0.104833142,8690,0.630149597,8690,37.77746,-122.46224
Morning,31,3032, BALBOA ST&4TH AVE NE-NS/BZ,Outbound,10,29,17.85714286,0.226831897,3712,0.245224396,8690,8515,8690,0.104833142,8690,0.630149597,8690,37.77746,-122.46224
